Video Analysis Report
File,analysis.mp4
Time Analyzed,2026-05-12 15:21:39
Fall Detected,YES
Total Frames,621

Timestamp (s),Event,Direction,Angle (deg),Velocity
4.9,FALL_DETECTED,FORWARD,62.6,0.3
4.94,FALL_DETECTED,FORWARD,66.3,-0.06
4.97,FALL_DETECTED,FORWARD,75.9,-0.12
5.0,FALL_DETECTED,FORWARD,80.4,-0.27
5.04,FALL_DETECTED,FORWARD,86.0,-0.51
5.07,FALL_DETECTED,FORWARD,88.4,-0.09
5.1,FALL_DETECTED,FORWARD,87.9,0.26
5.14,FALL_DETECTED,FORWARD,88.3,0.22
5.17,FALL_DETECTED,FORWARD,89.4,-0.36
5.2,FALL_DETECTED,FORWARD,89.5,-0.15
5.24,FALL_DETECTED,FORWARD,88.8,-0.0
5.27,FALL_DETECTED,FORWARD,88.2,-0.18
5.3,FALL_DETECTED,FORWARD,88.3,-0.0
5.34,FALL_DETECTED,FORWARD,88.9,0.08
5.37,FALL_DETECTED,FORWARD,89.1,0.13
5.4,FALL_DETECTED,FORWARD,88.7,0.04
5.44,FALL_DETECTED,FORWARD,89.6,0.13
5.47,FALL_DETECTED,FORWARD,89.5,-0.09
5.5,FALL_DETECTED,FORWARD,89.5,0.19
5.54,FALL_DETECTED,FORWARD,88.9,-0.18
5.57,FALL_DETECTED,FORWARD,89.1,0.09
5.6,FALL_DETECTED,FORWARD,89.0,-0.08
5.64,FALL_DETECTED,FORWARD,88.3,-0.17
5.67,FALL_DETECTED,FORWARD,88.6,0.07
5.7,FALL_DETECTED,FORWARD,88.5,0.02
5.74,FALL_DETECTED,FORWARD,88.7,0.02
5.77,FALL_DETECTED,FORWARD,88.7,-0.0
5.8,FALL_DETECTED,FORWARD,88.6,0.03
5.84,FALL_DETECTED,FORWARD,88.6,-0.08
5.87,FALL_DETECTED,FORWARD,88.4,-0.04
5.9,FALL_DETECTED,FORWARD,88.4,0.05
5.94,FALL_DETECTED,FORWARD,88.9,0.19
5.97,FALL_DETECTED,FORWARD,89.1,-0.04
6.0,FALL_DETECTED,FORWARD,89.2,0.04
6.04,FALL_DETECTED,FORWARD,89.1,-0.01
6.07,FALL_DETECTED,FORWARD,88.8,-0.06
6.1,FALL_DETECTED,FORWARD,88.8,-0.02
6.14,FALL_DETECTED,FORWARD,89.0,0.05
6.17,FALL_DETECTED,FORWARD,89.0,0.02
6.2,FALL_DETECTED,FORWARD,89.0,-0.04
6.24,FALL_DETECTED,FORWARD,89.3,0.13
6.27,FALL_DETECTED,FORWARD,89.5,0.16
6.3,FALL_DETECTED,FORWARD,89.2,-0.14
6.34,FALL_DETECTED,FORWARD,89.2,-0.1
6.37,FALL_DETECTED,FORWARD,88.9,-0.05
6.4,FALL_DETECTED,FORWARD,89.2,0.08
6.44,FALL_DETECTED,FORWARD,88.7,-0.13
6.47,FALL_DETECTED,FORWARD,88.6,-0.08
6.5,FALL_DETECTED,FORWARD,88.7,0.1
6.54,FALL_DETECTED,FORWARD,88.7,0.03
6.57,FALL_DETECTED,FORWARD,88.8,0.01
6.6,FALL_DETECTED,FORWARD,88.7,-0.05
6.64,FALL_DETECTED,FORWARD,88.7,0.01
6.67,FALL_DETECTED,FORWARD,88.7,0.0
6.7,FALL_DETECTED,FORWARD,88.6,-0.0
6.74,FALL_DETECTED,FORWARD,88.8,0.03
6.77,FALL_DETECTED,FORWARD,88.5,-0.07
6.8,FALL_DETECTED,FORWARD,88.9,0.08
6.84,FALL_DETECTED,FORWARD,89.2,0.13
6.87,FALL_DETECTED,FORWARD,89.0,-0.11
6.9,FALL_DETECTED,FORWARD,89.2,0.08
6.94,FALL_DETECTED,FORWARD,89.8,0.21
6.97,FALL_DETECTED,FORWARD,90.0,0.11
7.0,FALL_DETECTED,FORWARD,89.5,-0.2
7.04,FALL_DETECTED,FORWARD,90.0,0.06
7.07,FALL_DETECTED,FORWARD,89.7,-0.05
7.11,FALL_DETECTED,FORWARD,89.6,0.15
7.14,FALL_DETECTED,FORWARD,89.9,-0.04
7.17,FALL_DETECTED,FORWARD,89.9,-0.04
7.21,FALL_DETECTED,FORWARD,89.6,-0.0
7.24,FALL_DETECTED,FORWARD,89.5,0.08
7.27,FALL_DETECTED,FORWARD,89.3,-0.04
7.31,FALL_DETECTED,FORWARD,89.9,-0.07
7.34,FALL_DETECTED,FORWARD,89.7,-0.04
7.37,FALL_DETECTED,FORWARD,89.8,-0.01
7.41,FALL_DETECTED,FORWARD,89.8,0.01
7.44,FALL_DETECTED,FORWARD,89.9,0.05
7.47,FALL_DETECTED,FORWARD,89.9,-0.08
7.51,FALL_DETECTED,FORWARD,89.7,0.01
7.54,FALL_DETECTED,FORWARD,89.9,0.05
7.57,FALL_DETECTED,FORWARD,89.7,-0.04
7.61,FALL_DETECTED,FORWARD,89.8,0.04
7.64,FALL_DETECTED,FORWARD,89.8,0.1
7.67,FALL_DETECTED,FORWARD,89.8,-0.01
7.71,FALL_DETECTED,FORWARD,89.8,0.05
7.74,FALL_DETECTED,FORWARD,89.9,-0.15
7.77,FALL_DETECTED,FORWARD,90.0,0.02
7.81,FALL_DETECTED,FORWARD,89.9,0.02
7.84,FALL_DETECTED,FORWARD,90.0,-0.02
7.87,FALL_DETECTED,FORWARD,90.0,-0.03
7.91,FALL_DETECTED,FORWARD,90.0,0.01
7.94,FALL_DETECTED,FORWARD,89.7,0.02
7.97,FALL_DETECTED,FORWARD,90.0,-0.03
8.01,FALL_DETECTED,FORWARD,90.0,0.03
8.04,FALL_DETECTED,FORWARD,89.6,0.09
8.07,FALL_DETECTED,FORWARD,89.5,-0.01
8.11,FALL_DETECTED,FORWARD,89.8,-0.01
8.14,FALL_DETECTED,FORWARD,89.8,-0.06
8.17,FALL_DETECTED,FORWARD,89.8,0.1
8.21,FALL_DETECTED,FORWARD,89.5,-0.19
8.24,FALL_DETECTED,FORWARD,89.9,0.0
8.27,FALL_DETECTED,FORWARD,89.3,0.17
8.31,FALL_DETECTED,FORWARD,89.8,-0.21
8.34,FALL_DETECTED,FORWARD,89.1,-0.11
8.37,FALL_DETECTED,FORWARD,89.5,0.02
8.41,FALL_DETECTED,FORWARD,90.0,0.04
8.44,FALL_DETECTED,FORWARD,89.9,-0.04
8.47,FALL_DETECTED,FORWARD,89.8,0.02
8.51,FALL_DETECTED,FORWARD,90.0,-0.13
8.54,FALL_DETECTED,FORWARD,89.4,0.15
8.57,FALL_DETECTED,FORWARD,88.7,0.1
8.61,FALL_DETECTED,FORWARD,88.0,0.05
8.64,FALL_DETECTED,FORWARD,87.4,0.2
8.67,FALL_DETECTED,FORWARD,87.2,0.03
8.71,FALL_DETECTED,FORWARD,87.6,-0.16
8.74,FALL_DETECTED,FORWARD,87.5,-0.01
8.77,FALL_DETECTED,FORWARD,87.4,0.03
8.81,FALL_DETECTED,FORWARD,85.7,0.33
8.84,FALL_DETECTED,FORWARD,85.8,-0.07
8.87,FALL_DETECTED,FORWARD,85.5,0.11
8.91,FALL_DETECTED,FORWARD,84.6,-0.05
8.94,FALL_DETECTED,FORWARD,84.4,0.03
8.97,FALL_DETECTED,FORWARD,84.4,0.05
9.01,FALL_DETECTED,FORWARD,84.1,-0.03
9.04,FALL_DETECTED,FORWARD,87.1,-0.36
9.07,FALL_DETECTED,FORWARD,86.5,0.03
9.11,FALL_DETECTED,FORWARD,87.4,-0.1
9.14,FALL_DETECTED,FORWARD,87.6,-0.09
9.17,FALL_DETECTED,FORWARD,87.9,-0.11
9.21,FALL_DETECTED,FORWARD,87.3,0.11
9.24,FALL_DETECTED,FORWARD,87.3,-0.16
9.27,FALL_DETECTED,FORWARD,87.9,0.1
9.31,FALL_DETECTED,FORWARD,87.6,-0.23
9.34,FALL_DETECTED,FORWARD,87.7,-0.04
9.37,FALL_DETECTED,FORWARD,87.5,0.06
9.41,FALL_DETECTED,FORWARD,86.8,0.16
9.44,FALL_DETECTED,FORWARD,86.8,-0.06
9.47,FALL_DETECTED,FORWARD,85.5,0.25
9.51,FALL_DETECTED,FORWARD,86.0,-0.11
9.54,FALL_DETECTED,FORWARD,85.4,0.04
9.57,FALL_DETECTED,FORWARD,85.7,-0.07
9.61,FALL_DETECTED,FORWARD,86.5,-0.02
9.64,FALL_DETECTED,FORWARD,85.9,0.13
9.67,FALL_DETECTED,FORWARD,86.2,-0.22
9.71,FALL_DETECTED,FORWARD,86.3,-0.04
9.74,FALL_DETECTED,FORWARD,86.3,0.18
9.77,FALL_DETECTED,FORWARD,86.2,-0.12
9.81,FALL_DETECTED,FORWARD,85.5,-0.0
9.84,FALL_DETECTED,FORWARD,86.7,-0.08
9.87,FALL_DETECTED,FORWARD,87.2,-0.17
9.91,FALL_DETECTED,FORWARD,85.6,0.22
9.94,FALL_DETECTED,FORWARD,86.2,0.02
9.97,FALL_DETECTED,FORWARD,85.1,0.21
10.01,FALL_DETECTED,FORWARD,82.8,0.22
10.04,FALL_DETECTED,FORWARD,83.9,-0.18
10.07,FALL_DETECTED,FORWARD,84.4,-0.03
10.11,FALL_DETECTED,FORWARD,84.7,-0.03
10.14,FALL_DETECTED,FORWARD,85.6,-0.08
10.17,FALL_DETECTED,FORWARD,85.1,0.06
10.21,FALL_DETECTED,FORWARD,84.5,0.18
10.24,FALL_DETECTED,FORWARD,84.5,-0.05
10.27,FALL_DETECTED,FORWARD,84.4,0.06
10.31,FALL_DETECTED,FORWARD,84.7,0.04
10.34,FALL_DETECTED,FORWARD,83.7,0.05
10.37,FALL_DETECTED,FORWARD,85.8,-0.26
10.41,FALL_DETECTED,FORWARD,83.7,0.25
10.44,FALL_DETECTED,FORWARD,85.1,-0.26
10.47,FALL_DETECTED,FORWARD,84.8,0.05
10.51,FALL_DETECTED,FORWARD,85.2,0.04
10.54,FALL_DETECTED,FORWARD,84.3,0.15
10.57,FALL_DETECTED,FORWARD,84.1,-0.1
10.61,FALL_DETECTED,FORWARD,85.2,-0.04
10.64,FALL_DETECTED,FORWARD,85.1,0.01
10.67,FALL_DETECTED,FORWARD,85.3,0.05
10.71,FALL_DETECTED,FORWARD,86.1,-0.13
10.74,FALL_DETECTED,FORWARD,86.6,-0.12
10.77,FALL_DETECTED,FORWARD,85.6,0.18
10.81,FALL_DETECTED,FORWARD,85.7,0.1
10.84,FALL_DETECTED,FORWARD,85.7,-0.06
10.87,FALL_DETECTED,FORWARD,85.3,-0.01
10.91,FALL_DETECTED,FORWARD,85.6,-0.02
10.94,FALL_DETECTED,FORWARD,85.3,0.05
10.97,FALL_DETECTED,FORWARD,85.5,-0.13
11.01,FALL_DETECTED,FORWARD,85.1,0.18
11.04,FALL_DETECTED,FORWARD,85.1,-0.22
11.07,FALL_DETECTED,FORWARD,85.5,0.13
11.11,FALL_DETECTED,FORWARD,85.8,-0.19
11.14,FALL_DETECTED,FORWARD,85.5,0.04
11.17,FALL_DETECTED,FORWARD,85.1,0.11
11.21,FALL_DETECTED,FORWARD,85.3,0.08
11.24,FALL_DETECTED,FORWARD,85.7,-0.02
11.27,FALL_DETECTED,FORWARD,84.9,0.04
11.31,FALL_DETECTED,FORWARD,84.6,0.13
11.34,FALL_DETECTED,FORWARD,84.6,-0.0
11.37,FALL_DETECTED,FORWARD,84.3,-0.06
11.41,FALL_DETECTED,FORWARD,84.6,0.09
11.44,FALL_DETECTED,FORWARD,84.1,0.06
11.47,FALL_DETECTED,FORWARD,84.7,-0.1
11.51,FALL_DETECTED,FORWARD,85.0,-0.14
11.54,FALL_DETECTED,FORWARD,83.7,0.25
11.57,FALL_DETECTED,FORWARD,85.1,-0.19
11.61,FALL_DETECTED,FORWARD,84.8,0.05
11.64,FALL_DETECTED,FORWARD,84.8,-0.03
11.67,FALL_DETECTED,FORWARD,85.0,0.04
11.71,FALL_DETECTED,FORWARD,85.2,-0.01
11.74,FALL_DETECTED,FORWARD,84.9,-0.2
11.78,FALL_DETECTED,FORWARD,84.8,0.14
11.81,FALL_DETECTED,FORWARD,84.4,-0.09
11.84,FALL_DETECTED,FORWARD,84.7,-0.03
11.88,FALL_DETECTED,FORWARD,83.8,0.12
11.91,FALL_DETECTED,FORWARD,84.8,-0.04
11.94,FALL_DETECTED,FORWARD,84.8,0.13
11.98,FALL_DETECTED,FORWARD,84.4,0.06
12.01,FALL_DETECTED,FORWARD,85.2,-0.26
12.04,FALL_DETECTED,FORWARD,85.1,0.05
12.08,FALL_DETECTED,FORWARD,83.8,0.17
12.11,FALL_DETECTED,FORWARD,84.8,-0.19
12.14,FALL_DETECTED,FORWARD,83.8,0.26
12.18,FALL_DETECTED,FORWARD,84.1,-0.02
12.21,FALL_DETECTED,FORWARD,84.2,-0.05
12.24,FALL_DETECTED,FORWARD,84.2,-0.13
12.28,FALL_DETECTED,FORWARD,85.0,0.01
12.31,FALL_DETECTED,FORWARD,84.4,0.08
12.34,FALL_DETECTED,FORWARD,84.9,-0.16
12.38,FALL_DETECTED,FORWARD,83.8,0.22
12.41,FALL_DETECTED,FORWARD,86.1,-0.47
12.44,FALL_DETECTED,FORWARD,85.4,0.16
12.48,FALL_DETECTED,FORWARD,85.0,0.06
